date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:33:54	156/156	---MCZ	200	added ('OK')	text/plain	date:Fri,%2010%20Jan%202025%2005:03:59%20GMT	https://woo.templately.com/robots.txt		(from )
10:33:54	151725/151725	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202025%2000:27:09%20GMT	https://woo.templately.com/elescoop/	C:/Users/itkah/Desktop/choice%201/woo.templately.com/elescoop/index.html	(from )
10:33:54	5039/5039	---M--	200	added ('OK')	image/png	etag:%22d72b7efe0726597864dcaab019354a8d%22	https://static.live.templately.com/woocommerce/2022/11/43c0fc8e-es-hero-bg.png	C:/Users/itkah/Desktop/choice%201/static.live.templately.com/woocommerce/2022/11/43c0fc8e-es-hero-bg.png	(from https://woo.templately.com/elescoop/)
10:33:55	68/68	---M--	200	added ('OK')	text/css	etag:%2266c4353d-44%22	https://woo.templately.com/wp-content/plugins/svg-support/css/svgs-attachment.css?ver=2.5.8	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/svg-support/css/svgs-attachmented42.css	(from https://woo.templately.com/elescoop/)
10:33:55	17688/17688	---MCZ	200	added ('OK')	text/css	etag:W/%22677e6ac0-4518%22	https://woo.templately.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=9.5.1	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout0c46.css	(from https://woo.templately.com/elescoop/)
10:33:55	7427/7427	---MCZ	200	added ('OK')	text/css	etag:W/%22677e6ac0-1d03%22	https://woo.templately.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=9.5.1	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen0c46.css	(from https://woo.templately.com/elescoop/)
10:33:55	82123/82123	---MCZ	200	added ('OK')	text/css	etag:W/%22677e6ac0-140cb%22	https://woo.templately.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=9.5.1	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/woocommerce/assets/css/woocommerce0c46.css	(from https://woo.templately.com/elescoop/)
10:33:56	2279/2279	---MCZ	200	added ('OK')	text/css	etag:W/%22677e6ac0-8e7%22	https://woo.templately.com/wp-content/plugins/woocommerce/assets/css/brands.css?ver=9.5.1	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/woocommerce/assets/css/brands0c46.css	(from https://woo.templately.com/elescoop/)
10:33:56	121761/121761	---MCZ	200	added ('OK')	text/css	etag:W/%2266658a34-1dba1%22	https://woo.templately.com/wp-content/themes/flexia-flexia-2.3.1/framework/assets/site/css/style.css?ver=6.7.1	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/themes/flexia-flexia-2.3.1/framework/assets/site/css/style9704.css	(from https://woo.templately.com/elescoop/)
10:33:56	60809/60809	---MCZ	200	added ('OK')	text/css	etag:W/%22675ab0b8-ed89%22	https://woo.templately.com/wp-content/plugins/betterdocs-pro/assets/public/css/instant-answer.css?ver=3.4.11	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/betterdocs-pro/assets/public/css/instant-answer35af.css	(from https://woo.templately.com/elescoop/)
10:33:57	589/589	---MCZ	200	added ('OK')	text/css	etag:W/%22677e659e-24d%22	https://woo.templately.com/wp-content/plugins/betterdocs/assets/elementor/css/betterdocs-el-edit.css?ver=3.8.7	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/betterdocs/assets/elementor/css/betterdocs-el-edit7bc2.css	(from https://woo.templately.com/elescoop/)
10:33:57	53257/53257	---MCZ	200	added ('OK')	text/css	etag:W/%22677e65bc-d009%22	https://woo.templately.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.26.4	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/elementor/assets/css/frontend.min1c88.css	(from https://woo.templately.com/elescoop/)
10:33:57	254/254	---M--	200	added ('OK')	text/css	etag:%22677e65bc-fe%22	https://woo.templately.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.26.4	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/elementor/assets/css/widget-image.min1c88.css	(from https://woo.templately.com/elescoop/)
10:33:57	26859/26859	---MCZ	200	added ('OK')	text/css	etag:W/%22677e6ab2-68eb%22	https://woo.templately.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.26.3	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min7ac2.css	(from https://woo.templately.com/elescoop/)
10:33:57	600/600	---MCZ	200	added ('OK')	text/css	etag:W/%22677e65bc-258%22	https://woo.templately.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.26.4	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/elementor/assets/css/widget-heading.min1c88.css	(from https://woo.templately.com/elescoop/)
10:33:58	10310/10310	---MCZ	200	added ('OK')	text/css	etag:W/%22677e65bc-2846%22	https://woo.templately.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.26.4	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min1c88.css	(from https://woo.templately.com/elescoop/)
10:33:58	5150/5150	---MCZ	200	added ('OK')	text/css	etag:W/%22677e65bc-141e%22	https://woo.templately.com/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css?ver=3.26.4	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/elementor/assets/css/widget-social-icons.min1c88.css	(from https://woo.templately.com/elescoop/)
10:33:58	7025/7025	---MCZ	200	added ('OK')	text/css	etag:W/%22677e65bc-1b71%22	https://woo.templately.com/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min.css?ver=3.26.4	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min1c88.css	(from https://woo.templately.com/elescoop/)
10:33:58	5659/5659	---MCZ	200	added ('OK')	text/css	etag:W/%22677e6ab5-161b%22	https://woo.templately.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=6.1.0	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min42c6.css	(from https://woo.templately.com/elescoop/)
10:33:59	183557/183557	---MCZ	200	added ('OK')	text/css	etag:W/%22677e7161-2cd05%22	https://woo.templately.com/wp-content/uploads/essential-addons-elementor/eael-24809.css?ver=1710150133	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/uploads/essential-addons-elementor/eael-248095c10.css	(from https://woo.templately.com/elescoop/)
10:33:59	20060/20060	---MCZ	200	added ('OK')	text/css	etag:W/%22677e65bc-4e5c%22	https://woo.templately.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.34.0	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min705c.css	(from https://woo.templately.com/elescoop/)
10:33:59	3791/3791	---MCZ	200	added ('OK')	text/css	etag:W/%22677e6ae1-ecf%22	https://woo.templately.com/wp-content/uploads/elementor/css/post-11.css?ver=1736338145	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/uploads/elementor/css/post-118141.css	(from https://woo.templately.com/elescoop/)
10:33:59	2703/2703	---MCZ	200	added ('OK')	text/css	etag:W/%22677e65bc-a8f%22	https://woo.templately.com/wp-content/plugins/elementor/assets/css/widget-star-rating.min.css?ver=3.26.4	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/elementor/assets/css/widget-star-rating.min1c88.css	(from https://woo.templately.com/elescoop/)
10:34:00	338/338	---MCZ	200	added ('OK')	text/css	etag:W/%22677e65bc-152%22	https://woo.templately.com/wp-content/plugins/elementor/assets/lib/animations/styles/headShake.min.css?ver=3.26.4	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/elementor/assets/lib/animations/styles/headShake.min1c88.css	(from https://woo.templately.com/elescoop/)
10:34:00	1344/1344	---MCZ	200	added ('OK')	text/css	etag:W/%22677e65bc-540%22	https://woo.templately.com/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=3.26.4	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/elementor/assets/css/widget-spacer.min1c88.css	(from https://woo.templately.com/elescoop/)
10:34:00	130/130	---M--	200	added ('OK')	text/css	etag:%22677e65bc-82%22	https://woo.templately.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css?ver=3.26.4	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min1c88.css	(from https://woo.templately.com/elescoop/)
10:34:00	106/106	---M--	200	added ('OK')	text/css	etag:%22677e65bc-6a%22	https://woo.templately.com/wp-content/plugins/elementor/assets/lib/animations/styles/zoomIn.min.css?ver=3.26.4	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/elementor/assets/lib/animations/styles/zoomIn.min1c88.css	(from https://woo.templately.com/elescoop/)
10:34:01	180/180	---M--	200	added ('OK')	text/css	etag:%22677e65bc-b4%22	https://woo.templately.com/wp-content/plugins/elementor/assets/lib/animations/styles/rotateIn.min.css?ver=3.26.4	C:/Users/itkah/Desktop/choice%201/woo.templately.com/wp-content/plugins/elementor/assets/lib/animations/styles/rotateIn.min1c88.css	(from https://woo.templately.com/elescoop/)
